epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,370.262,1.87625,1.56096,2.47028,0.50194,0.55792,0.50578,0.29934,1.89998,1.39876,2.70038,0.00999959,0.00999959,0.00999959
43,378.557,1.77991,1.5137,2.47857,0.50366,0.57455,0.50433,0.32729,1.68575,1.35656,2.73215,0.00999958,0.00999958,0.00999958
44,386.251,1.86956,1.35028,2.42411,0.50482,0.42685,0.43977,0.25802,1.95464,1.59372,2.67762,0.00999957,0.00999957,0.00999957
45,394.592,1.78147,1.32423,2.47274,0.54747,0.6,0.57248,0.36199,1.69795,1.31251,2.70038,0.00999956,0.00999956,0.00999956
46,403.142,1.82006,1.40974,2.56386,0.5107,0.59844,0.53873,0.34273,1.72105,1.32679,2.75727,0.00999955,0.00999955,0.00999955
47,410.876,1.7605,1.30083,2.48849,0.51524,0.47221,0.49141,0.31628,1.77204,1.40768,2.62955,0.00999954,0.00999954,0.00999954
48,419.202,1.76763,1.31887,2.41442,0.53167,0.58753,0.55251,0.34274,1.78123,1.29349,2.76316,0.00999953,0.00999953,0.00999953
49,427.384,1.76035,1.27766,2.41191,0.52453,0.62649,0.57001,0.36877,1.6816,1.22109,2.64917,0.00999952,0.00999952,0.00999952
50,435.559,1.76269,1.27495,2.4204,0.57764,0.60416,0.59623,0.38946,1.61167,1.19312,2.56131,0.00999951,0.00999951,0.00999951
51,443.343,1.70826,1.2788,2.49871,0.53051,0.56519,0.54129,0.33425,1.76972,1.28501,2.69816,0.00999951,0.00999951,0.00999951
52,451.297,1.65874,1.25516,2.47733,0.53806,0.62701,0.59216,0.38419,1.60857,1.21301,2.63385,0.0099995,0.0099995,0.0099995
53,459.165,1.6673,1.2528,2.40889,0.48421,0.54034,0.49619,0.31604,1.69803,1.37528,2.67648,0.00999949,0.00999949,0.00999949
54,467.143,1.61981,1.21468,2.42135,0.57183,0.60623,0.60347,0.38992,1.55243,1.16983,2.61665,0.00999948,0.00999948,0.00999948
55,474.927,1.59081,1.25732,2.44761,0.55133,0.62805,0.60087,0.38465,1.53898,1.20027,2.58425,0.00999947,0.00999947,0.00999947
56,482.448,1.61826,1.22933,2.44332,0.52452,0.55989,0.5324,0.35174,1.55755,1.21888,2.6533,0.00999946,0.00999946,0.00999946
57,490.281,1.60658,1.19992,2.42702,0.54342,0.67887,0.62083,0.41591,1.51334,1.14848,2.56651,0.00999945,0.00999945,0.00999945
58,498.278,1.6272,1.15775,2.40916,0.51767,0.70442,0.60381,0.39456,1.50125,1.12165,2.5979,0.00999944,0.00999944,0.00999944
59,506.368,1.63027,1.17943,2.36317,0.56518,0.72181,0.64879,0.43043,1.4641,1.09992,2.57084,0.00999943,0.00999943,0.00999943
60,514.267,1.53872,1.14545,2.39972,0.45599,0.58909,0.51575,0.3345,1.58785,1.2847,2.57858,0.00999942,0.00999942,0.00999942
61,522.707,1.55514,1.11409,2.39054,0.52368,0.68936,0.59668,0.39709,1.46822,1.09465,2.59481,0.00999941,0.00999941,0.00999941
62,530.393,1.50652,1.1274,2.4587,0.55178,0.67979,0.60783,0.40047,1.44379,1.0863,2.59133,0.0099994,0.0099994,0.0099994
63,538.336,1.54556,1.12711,2.44203,0.54803,0.60883,0.58676,0.3952,1.50453,1.12929,2.57232,0.00999939,0.00999939,0.00999939
64,546.129,1.48411,1.09066,2.397,0.56934,0.67377,0.61898,0.42524,1.41949,1.05992,2.56027,0.00999938,0.00999938,0.00999938
65,553.893,1.46853,1.10318,2.37179,0.52873,0.62857,0.57055,0.39789,1.38129,1.07254,2.55651,0.00999937,0.00999937,0.00999937
66,561.644,1.43794,1.08667,2.44879,0.58943,0.68935,0.65452,0.45593,1.36362,1.04001,2.5402,0.00999936,0.00999936,0.00999936
67,569.392,1.45547,1.06366,2.36598,0.56498,0.60416,0.59798,0.41886,1.40621,1.11575,2.5482,0.00999935,0.00999935,0.00999935
68,577.192,1.44478,1.04449,2.35606,0.53138,0.60468,0.56969,0.38459,1.42841,1.12482,2.55515,0.00999934,0.00999934,0.00999934
69,584.971,1.41952,1.03091,2.37274,0.573,0.71532,0.64947,0.44937,1.36253,1.05104,2.53531,0.00999933,0.00999933,0.00999933
70,592.592,1.40519,1.09812,2.48663,0.50829,0.56935,0.53425,0.37064,1.41605,1.31381,2.59016,0.00999932,0.00999932,0.00999932
71,599.922,1.35441,1.07454,2.33417,0.60024,0.66909,0.64367,0.45878,1.25546,1.09744,2.53922,0.00999931,0.00999931,0.00999931
72,607.718,1.35434,1.07586,2.41106,0.57442,0.65506,0.6249,0.44529,1.28719,1.07752,2.59656,0.0099993,0.0099993,0.0099993
73,615.92,1.33696,1.036,2.30998,0.56956,0.62826,0.6136,0.44163,1.31239,1.21972,2.54767,0.00999929,0.00999929,0.00999929
74,624.035,1.37336,1.00555,2.33957,0.59474,0.70909,0.66481,0.4714,1.30069,1.02952,2.56259,0.00999928,0.00999928,0.00999928
75,631.678,1.40208,1.01497,2.37199,0.568,0.69922,0.6264,0.44912,1.26037,1.0031,2.54476,0.00999927,0.00999927,0.00999927
76,639.612,1.41304,1.00565,2.3821,0.57784,0.70286,0.65756,0.46027,1.37339,1.01159,2.47319,0.00999926,0.00999926,0.00999926
77,647.387,1.3462,1.02859,2.31542,0.53162,0.69714,0.59862,0.42627,1.27346,0.99927,2.56092,0.00999925,0.00999925,0.00999925
78,654.898,1.3677,1.01822,2.28552,0.59318,0.71221,0.66726,0.48045,1.2413,1.01015,2.52715,0.00999924,0.00999924,0.00999924
79,663.054,1.29653,0.96998,2.3519,0.55348,0.63636,0.57826,0.40115,1.33535,1.04161,2.50623,0.00999923,0.00999923,0.00999923
80,671.27,1.32419,0.99592,2.35594,0.59743,0.72519,0.66033,0.47085,1.26896,0.98807,2.51513,0.00999922,0.00999922,0.00999922
81,679.455,1.37241,1.00261,2.34849,0.59776,0.73506,0.68,0.47991,1.23015,0.98049,2.51575,0.00999921,0.00999921,0.00999921
82,687.267,1.28686,0.97045,2.38602,0.568,0.65558,0.60867,0.42492,1.32536,1.04961,2.50314,0.0099992,0.0099992,0.0099992
83,695.582,1.35476,1.01626,2.3155,0.59402,0.69818,0.6651,0.4777,1.21727,0.97063,2.50724,0.00999919,0.00999919,0.00999919
