epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,1473.36,0.96436,0.71407,2.12978,0.66952,0.8,0.78083,0.63161,0.83048,0.70039,2.3163,0.00999821,0.00999821,0.00999821
183,1480.8,0.97567,0.70483,2.15554,0.66134,0.80312,0.7784,0.62751,0.85562,0.71754,2.32703,0.0099982,0.0099982,0.0099982
184,1488.51,0.95841,0.68884,2.19395,0.6354,0.80663,0.74741,0.60276,0.87416,0.71205,2.25007,0.00999819,0.00999819,0.00999819
185,1496.07,0.94444,0.68996,2.16194,0.66723,0.80623,0.78472,0.62605,0.8792,0.71728,2.34973,0.00999818,0.00999818,0.00999818
186,1504.03,0.96467,0.69044,2.10539,0.66527,0.7626,0.76741,0.62844,0.8349,0.72184,2.25277,0.00999817,0.00999817,0.00999817
187,1512.66,0.94097,0.70311,2.17433,0.67407,0.83377,0.79865,0.64967,0.81451,0.6847,2.23876,0.00999816,0.00999816,0.00999816
188,1520.48,0.95054,0.68317,2.15373,0.67598,0.73351,0.74983,0.59354,0.90416,0.77936,2.365,0.00999815,0.00999815,0.00999815
189,1528.61,0.92333,0.67931,2.10155,0.69266,0.81954,0.80151,0.66035,0.77691,0.6827,2.25654,0.00999814,0.00999814,0.00999814
190,1536.86,0.96634,0.69327,2.15776,0.6697,0.8047,0.77603,0.64632,0.77482,0.68282,2.24607,0.00999813,0.00999813,0.00999813
191,1544.7,0.92355,0.68845,2.14628,0.63239,0.75604,0.74414,0.58084,0.94273,0.77978,2.32981,0.00999812,0.00999812,0.00999812
192,1552.25,0.91134,0.68632,2.19169,0.64476,0.75377,0.73985,0.61497,0.78546,0.73576,2.27877,0.00999811,0.00999811,0.00999811
193,1559.87,1.00433,0.70162,2.14482,0.63251,0.83241,0.77204,0.62246,0.85283,0.72347,2.26846,0.0099981,0.0099981,0.0099981
194,1567.63,0.94869,0.6852,2.15903,0.64873,0.71273,0.73655,0.59892,0.817,0.73867,2.29115,0.00999809,0.00999809,0.00999809
195,1575.48,0.94001,0.7014,2.06066,0.61071,0.8239,0.75261,0.60278,0.89506,0.73942,2.26928,0.00999808,0.00999808,0.00999808
196,1583.59,0.93255,0.70634,2.13256,0.58855,0.82597,0.73187,0.58151,0.91897,0.74657,2.2628,0.00999807,0.00999807,0.00999807
197,1591.27,0.98953,0.71561,2.06803,0.6573,0.79325,0.77868,0.62428,0.85154,0.71333,2.28479,0.00999806,0.00999806,0.00999806
198,1598.78,0.92061,0.68865,2.18293,0.62361,0.79429,0.74863,0.5954,0.87217,0.73679,2.26019,0.00999805,0.00999805,0.00999805
199,1606.51,0.91912,0.70174,2.11266,0.62815,0.82494,0.76618,0.61028,0.86431,0.72687,2.2891,0.00999804,0.00999804,0.00999804
200,1614.78,0.93221,0.69206,2.11308,0.64741,0.75068,0.74848,0.61033,0.83826,0.73526,2.27359,0.00999803,0.00999803,0.00999803
201,1623.04,0.91808,0.69685,2.165,0.64166,0.77022,0.74881,0.60514,0.85029,0.74209,2.2987,0.00999802,0.00999802,0.00999802
202,1630.96,0.94136,0.70036,2.13661,0.61456,0.8639,0.76542,0.62878,0.81602,0.72074,2.26529,0.00999801,0.00999801,0.00999801
203,1639.18,0.8964,0.69239,2.09208,0.65062,0.8213,0.76589,0.62922,0.80955,0.72295,2.26857,0.009998,0.009998,0.009998
204,1646.79,0.88907,0.68179,2.16024,0.64963,0.81506,0.7732,0.62577,0.8406,0.72524,2.29483,0.00999799,0.00999799,0.00999799
205,1654.4,0.90185,0.68159,2.10693,0.65909,0.7854,0.76921,0.62844,0.79337,0.70648,2.25204,0.00999798,0.00999798,0.00999798
206,1662.05,0.89622,0.68861,2.11291,0.65124,0.83065,0.78793,0.6406,0.77079,0.69927,2.25257,0.00999797,0.00999797,0.00999797
207,1670.09,0.94,0.70386,2.06749,0.6195,0.74234,0.7159,0.57468,0.87594,0.73929,2.27491,0.00999796,0.00999796,0.00999796
208,1677.61,0.94815,0.68394,2.11733,0.69391,0.77372,0.78064,0.63648,0.81304,0.69148,2.24708,0.00999795,0.00999795,0.00999795
209,1685.8,0.91547,0.66874,2.05054,0.69487,0.80416,0.79885,0.65348,0.79978,0.70111,2.25368,0.00999794,0.00999794,0.00999794
210,1693.79,0.89271,0.65814,2.10381,0.6574,0.7361,0.73764,0.60165,0.83227,0.69561,2.25404,0.00999793,0.00999793,0.00999793
211,1701.64,0.91162,0.6561,2.10131,0.68274,0.82279,0.80628,0.65774,0.78017,0.68557,2.2474,0.00999792,0.00999792,0.00999792
212,1709.17,0.869,0.6717,2.10427,0.6958,0.84519,0.82133,0.68017,0.76586,0.69421,2.22975,0.00999791,0.00999791,0.00999791
213,1716.88,0.89795,0.65157,2.05526,0.62203,0.83695,0.77508,0.63084,0.81251,0.68233,2.24645,0.0099979,0.0099979,0.0099979
214,1724.49,0.90283,0.65965,2.09244,0.66711,0.82026,0.79118,0.65376,0.78677,0.73454,2.23626,0.00999789,0.00999789,0.00999789
215,1732.54,0.86868,0.65205,2.12697,0.69131,0.86442,0.8125,0.66044,0.82937,0.69823,2.19063,0.00999788,0.00999788,0.00999788
216,1740.5,0.95992,0.66329,2.11994,0.65997,0.79896,0.77566,0.64,0.79221,0.6783,2.27117,0.00999787,0.00999787,0.00999787
217,1748.19,0.89995,0.65589,2.12004,0.66914,0.79221,0.77798,0.6243,0.87736,0.71457,2.20414,0.00999786,0.00999786,0.00999786
218,1755.95,0.88974,0.66083,2.0932,0.65652,0.80727,0.76833,0.63026,0.8104,0.68727,2.28976,0.00999785,0.00999785,0.00999785
219,1764.28,0.95975,0.68356,2.10661,0.68665,0.81403,0.78781,0.64311,0.79438,0.6771,2.2453,0.00999784,0.00999784,0.00999784
220,1772.18,0.92085,0.66936,2.128,0.64264,0.75576,0.73023,0.60159,0.85688,0.7235,2.25034,0.00999783,0.00999783,0.00999783
221,1780.3,0.89731,0.66476,2.0732,0.67059,0.82698,0.80282,0.66187,0.79182,0.67889,2.20008,0.00999782,0.00999782,0.00999782
222,1788.35,0.92668,0.67376,2.10829,0.66953,0.8388,0.7985,0.65379,0.83657,0.69034,2.19131,0.00999781,0.00999781,0.00999781
223,1796.07,0.92074,0.67486,2.08293,0.66644,0.73506,0.75101,0.61834,0.78826,0.70837,2.27405,0.0099978,0.0099978,0.0099978
224,1803.85,0.92595,0.66322,2.05891,0.67324,0.82649,0.79155,0.65231,0.82776,0.68139,2.17028,0.00999779,0.00999779,0.00999779
225,1810.78,0.86917,0.66947,2.12387,0.67866,0.83896,0.80874,0.67317,0.78954,0.67558,2.1967,0.00999778,0.00999778,0.00999778
226,1817.26,0.88922,0.65331,2.1185,0.70972,0.81669,0.80637,0.67241,0.78266,0.66777,2.26275,0.00999777,0.00999777,0.00999777
227,1824.51,0.89883,0.67413,2.08374,0.65464,0.82961,0.78833,0.65592,0.77308,0.69873,2.20274,0.00999776,0.00999776,0.00999776
228,1832.06,0.8623,0.62352,2.09575,0.65055,0.83532,0.78803,0.65067,0.825,0.65826,2.18648,0.00999775,0.00999775,0.00999775
229,1839.63,0.92773,0.65683,2.06673,0.7098,0.8161,0.82249,0.68444,0.75423,0.66141,2.25061,0.00999774,0.00999774,0.00999774
230,1847.7,0.88362,0.6308,2.11531,0.63672,0.8213,0.76811,0.63111,0.85227,0.70118,2.18739,0.00999773,0.00999773,0.00999773
231,1855.83,0.83167,0.64669,2.1187,0.67244,0.80729,0.77384,0.63713,0.84605,0.71912,2.18458,0.00999772,0.00999772,0.00999772
232,1863.98,0.94126,0.65892,2.07968,0.68549,0.83429,0.82551,0.6946,0.7301,0.65624,2.26797,0.00999771,0.00999771,0.00999771
233,1872.41,0.9025,0.64354,2.0554,0.67681,0.82597,0.80725,0.65922,0.84055,0.68524,2.18828,0.0099977,0.0099977,0.0099977
234,1880.27,0.8675,0.62948,2.1461,0.71181,0.83015,0.82682,0.68624,0.73513,0.63476,2.26131,0.00999769,0.00999769,0.00999769
235,1888.61,0.92802,0.64773,2.0575,0.67924,0.85195,0.81236,0.67644,0.7565,0.64729,2.22171,0.00999768,0.00999768,0.00999768
236,1896.2,0.88359,0.64601,2.08592,0.66413,0.78805,0.77482,0.64553,0.78333,0.68338,2.21175,0.00999767,0.00999767,0.00999767
237,1904.51,0.88594,0.64753,2.05145,0.65721,0.8239,0.78771,0.65243,0.7788,0.66834,2.21208,0.00999766,0.00999766,0.00999766
238,1913.28,0.87482,0.63409,2.07531,0.67228,0.79178,0.7832,0.65135,0.75959,0.66448,2.22253,0.00999765,0.00999765,0.00999765
239,1921.52,0.86529,0.64207,2.07711,0.61543,0.85766,0.77525,0.64752,0.7823,0.69066,2.19407,0.00999764,0.00999764,0.00999764
240,1929.05,0.88806,0.65402,2.07571,0.66793,0.78995,0.76885,0.63496,0.77392,0.68627,2.24357,0.00999763,0.00999763,0.00999763
241,1936.87,0.88719,0.6388,2.05867,0.68067,0.77955,0.79159,0.6574,0.7541,0.67832,2.22788,0.00999762,0.00999762,0.00999762
242,1944.73,0.85924,0.65341,2.1003,0.63195,0.85448,0.78045,0.6529,0.77327,0.69067,2.20161,0.00999761,0.00999761,0.00999761
243,1952.72,0.86821,0.64676,2.08969,0.68863,0.77091,0.77812,0.65311,0.74567,0.67521,2.21792,0.0099976,0.0099976,0.0099976
244,1960.59,0.88205,0.65952,2.05833,0.67178,0.84156,0.81269,0.67457,0.74002,0.66922,2.22053,0.00999759,0.00999759,0.00999759
245,1968.66,0.85908,0.65182,2.10987,0.65095,0.76416,0.76686,0.63565,0.80212,0.69586,2.20924,0.00999758,0.00999758,0.00999758
246,1976.89,0.90144,0.6559,2.09775,0.68263,0.83792,0.80471,0.65943,0.80714,0.68111,2.19217,0.00999757,0.00999757,0.00999757
247,1985.19,0.87385,0.66422,2.11498,0.67225,0.83896,0.79687,0.66171,0.77109,0.6667,2.19931,0.00999756,0.00999756,0.00999756
248,1993.86,0.88543,0.66674,2.06211,0.65526,0.82646,0.79192,0.65146,0.789,0.68865,2.22015,0.00999755,0.00999755,0.00999755
249,2001.91,0.88557,0.66161,2.0822,0.65015,0.85921,0.79281,0.66008,0.75804,0.66387,2.1962,0.00999754,0.00999754,0.00999754
250,2009.88,0.86144,0.64552,2.09788,0.65386,0.81455,0.77457,0.64018,0.79468,0.69403,2.23718,0.00999753,0.00999753,0.00999753
251,2018.19,0.87482,0.66456,2.03888,0.65231,0.81091,0.78133,0.64669,0.76467,0.69308,2.22806,0.00999753,0.00999753,0.00999753
252,2026.24,0.85187,0.67787,2.09608,0.67491,0.80831,0.77855,0.65447,0.74807,0.66308,2.21399,0.00999752,0.00999752,0.00999752
253,2033.74,0.87114,0.66067,2.10484,0.68298,0.83273,0.80678,0.67556,0.7755,0.69053,2.21544,0.00999751,0.00999751,0.00999751
254,2042.16,0.82628,0.62176,2.09767,0.70593,0.8455,0.81951,0.67814,0.78458,0.66785,2.20105,0.0099975,0.0099975,0.0099975
255,2050.39,0.86364,0.63528,2.06116,0.66559,0.80156,0.77979,0.65917,0.71917,0.64839,2.24096,0.00999749,0.00999749,0.00999749
256,2058.46,0.85687,0.64802,2.11591,0.69362,0.83896,0.81429,0.6741,0.787,0.66698,2.19722,0.00999748,0.00999748,0.00999748
257,2066.82,0.84179,0.63059,2.09982,0.67731,0.80208,0.80104,0.66134,0.78394,0.67485,2.20032,0.00999747,0.00999747,0.00999747
258,2074.99,0.86138,0.63303,2.07203,0.69712,0.74966,0.79593,0.6608,0.743,0.66916,2.22826,0.00999746,0.00999746,0.00999746
259,2083.17,0.84433,0.64273,2.07679,0.67575,0.76987,0.78206,0.65541,0.73872,0.66361,2.20749,0.00999745,0.00999745,0.00999745
260,2091.16,0.85116,0.62252,2.0445,0.63846,0.83115,0.78563,0.65088,0.76117,0.66113,2.19875,0.00999744,0.00999744,0.00999744
261,2099.27,0.85301,0.63493,2.07401,0.70626,0.83935,0.82334,0.69308,0.73357,0.63181,2.21985,0.00999743,0.00999743,0.00999743
262,2107.15,0.85136,0.62386,2.08021,0.63979,0.84518,0.79014,0.66131,0.76424,0.66597,2.19155,0.00999742,0.00999742,0.00999742
263,2115.26,0.8634,0.62983,2.08246,0.65672,0.79803,0.76703,0.64727,0.76054,0.67168,2.20206,0.00999741,0.00999741,0.00999741
264,2123.6,0.8497,0.61852,2.08384,0.70823,0.83429,0.81768,0.69151,0.74607,0.63521,2.20057,0.0099974,0.0099974,0.0099974
265,2132.01,0.86184,0.63012,2.06196,0.65514,0.82026,0.78131,0.655,0.78129,0.65205,2.16669,0.00999739,0.00999739,0.00999739
266,2139.83,0.85073,0.62329,2.08294,0.70828,0.82494,0.81253,0.68615,0.73952,0.62911,2.21875,0.00999738,0.00999738,0.00999738
267,2148.17,0.84801,0.60856,2.03595,0.70267,0.84519,0.81967,0.68599,0.75116,0.64483,2.2255,0.00999737,0.00999737,0.00999737
268,2156.12,0.85296,0.62587,2.05552,0.70498,0.85091,0.82675,0.69205,0.74171,0.62214,2.14923,0.00999736,0.00999736,0.00999736
269,2164.4,0.82721,0.62296,2.12034,0.70851,0.79169,0.7977,0.67144,0.73882,0.66047,2.24827,0.00999735,0.00999735,0.00999735
270,2172.65,0.86454,0.61403,2.09386,0.71092,0.78701,0.80147,0.67346,0.74861,0.65017,2.24238,0.00999734,0.00999734,0.00999734
271,2180.74,0.84424,0.62213,2.04905,0.71524,0.83896,0.83412,0.70041,0.71638,0.63493,2.16047,0.00999733,0.00999733,0.00999733
272,2188.63,0.84166,0.62083,2.09423,0.68725,0.84831,0.80988,0.67771,0.72378,0.64717,2.20975,0.00999732,0.00999732,0.00999732
273,2196.82,0.8728,0.62222,2.06196,0.65264,0.87941,0.81216,0.67961,0.73728,0.64362,2.19961,0.00999731,0.00999731,0.00999731
274,2205.24,0.82815,0.61511,2.067,0.69146,0.77506,0.78698,0.67059,0.74203,0.67887,2.18091,0.0099973,0.0099973,0.0099973
275,2213.15,0.84228,0.60488,2.09616,0.69743,0.83117,0.8183,0.69361,0.72636,0.62672,2.16697,0.00999729,0.00999729,0.00999729
276,2221.21,0.85145,0.60863,2.04483,0.6996,0.83013,0.8089,0.69046,0.72538,0.62357,2.18364,0.00999728,0.00999728,0.00999728
277,2229.4,0.83094,0.59103,2.03704,0.65796,0.85143,0.80384,0.67755,0.75769,0.62921,2.14151,0.00999727,0.00999727,0.00999727
278,2238.43,0.84941,0.6118,2.03643,0.69096,0.83896,0.82626,0.69911,0.72581,0.61605,2.1866,0.00999726,0.00999726,0.00999726
279,2246.78,0.87436,0.60699,2.02396,0.67902,0.82234,0.80525,0.681,0.72141,0.6583,2.20191,0.00999725,0.00999725,0.00999725
280,2254.8,0.81586,0.60766,2.10009,0.67829,0.85506,0.80252,0.68356,0.73406,0.63057,2.1431,0.00999724,0.00999724,0.00999724
281,2262.47,0.86884,0.65317,2.06817,0.70644,0.80364,0.8211,0.67525,0.77683,0.66655,2.20396,0.00999723,0.00999723,0.00999723
282,2270.79,0.82559,0.60064,2.01785,0.70231,0.82961,0.81972,0.68614,0.74151,0.62744,2.1444,0.00999722,0.00999722,0.00999722
283,2278.87,0.85184,0.62009,2.0956,0.71563,0.86234,0.82987,0.69186,0.7266,0.621,2.15613,0.00999721,0.00999721,0.00999721
284,2286.93,0.84539,0.62885,2.07977,0.72722,0.79772,0.81712,0.67748,0.76327,0.64891,2.20255,0.0099972,0.0099972,0.0099972
285,2294.74,0.83071,0.61877,2.06147,0.69123,0.82857,0.80694,0.67473,0.73189,0.6319,2.1588,0.00999719,0.00999719,0.00999719
286,2302.35,0.84012,0.63298,2.10582,0.6758,0.85761,0.81335,0.68643,0.71801,0.6276,2.16435,0.00999718,0.00999718,0.00999718
287,2310.34,0.81626,0.61134,2.08323,0.70334,0.8067,0.81085,0.68118,0.76478,0.62196,2.20457,0.00999717,0.00999717,0.00999717
288,2318.63,0.84598,0.60994,2.03454,0.68467,0.83128,0.80696,0.68208,0.72313,0.62084,2.15298,0.00999716,0.00999716,0.00999716
289,2326.86,0.82138,0.60502,2.08416,0.66479,0.86442,0.80123,0.67288,0.75504,0.63821,2.14579,0.00999715,0.00999715,0.00999715
290,2334.85,0.86834,0.60877,2.01996,0.69802,0.82972,0.81026,0.67522,0.76258,0.62841,2.19726,0.00999714,0.00999714,0.00999714
291,2342.65,0.84202,0.62235,2.06221,0.69072,0.85922,0.8099,0.68221,0.73138,0.61142,2.13876,0.00999713,0.00999713,0.00999713
292,2350.4,0.82002,0.61161,2.08729,0.71133,0.83117,0.81348,0.67835,0.74327,0.6194,2.13104,0.00999712,0.00999712,0.00999712
293,2358.35,0.8365,0.59083,2.04451,0.70903,0.82026,0.81302,0.67824,0.74334,0.62808,2.22018,0.00999711,0.00999711,0.00999711
294,2366.64,0.824,0.60158,2.03022,0.72239,0.83792,0.83264,0.70337,0.70941,0.62296,2.12838,0.0099971,0.0099971,0.0099971
295,2374.34,0.8122,0.61588,2.05845,0.72218,0.8521,0.84064,0.71054,0.70857,0.61034,2.12715,0.00999709,0.00999709,0.00999709
296,2382.29,0.84014,0.59128,2.01754,0.69703,0.81299,0.8009,0.67529,0.72944,0.6304,2.22468,0.00999708,0.00999708,0.00999708
297,2389.77,0.82807,0.5976,2.08554,0.73388,0.84831,0.84736,0.71315,0.70636,0.60093,2.1408,0.00999707,0.00999707,0.00999707
298,2397.9,0.83911,0.61722,2.10588,0.68987,0.82045,0.79885,0.68481,0.70623,0.61851,2.19074,0.00999706,0.00999706,0.00999706
299,2405.82,0.84348,0.61631,2.06961,0.72479,0.80519,0.81979,0.69901,0.70684,0.62879,2.18402,0.00999705,0.00999705,0.00999705
300,2412.84,0.82483,0.61079,2.03525,0.68207,0.8026,0.79752,0.67292,0.74079,0.6599,2.15196,0.00999704,0.00999704,0.00999704
301,2419.88,0.84821,0.60644,2.06681,0.71337,0.83131,0.83261,0.70375,0.72096,0.59929,2.17977,0.00999703,0.00999703,0.00999703
302,2426.87,0.84262,0.60133,2.00241,0.7429,0.79273,0.82586,0.69989,0.72838,0.60967,2.17683,0.00999702,0.00999702,0.00999702
303,2434.13,0.81312,0.58424,2.04376,0.68337,0.78145,0.78642,0.67401,0.73531,0.62861,2.1347,0.00999701,0.00999701,0.00999701
304,2441.04,0.79124,0.586,2.08709,0.68916,0.84883,0.83139,0.70506,0.69217,0.60283,2.17481,0.009997,0.009997,0.009997
305,2447.82,0.80359,0.59418,1.99219,0.69993,0.85304,0.83092,0.7085,0.68398,0.60468,2.15942,0.00999699,0.00999699,0.00999699
306,2454.66,0.83074,0.60376,2.01335,0.68714,0.84779,0.8245,0.70063,0.72748,0.61311,2.13443,0.00999698,0.00999698,0.00999698
307,2461.46,0.81249,0.6169,2.05183,0.69104,0.81818,0.81768,0.69588,0.69026,0.612,2.1635,0.00999697,0.00999697,0.00999697
308,2468.11,0.83097,0.6006,2.00395,0.69421,0.79688,0.80283,0.67616,0.71499,0.61532,2.17738,0.00999696,0.00999696,0.00999696
309,2475.28,0.81707,0.60669,2.00463,0.72743,0.86374,0.84396,0.71652,0.7258,0.59705,2.12184,0.00999695,0.00999695,0.00999695
310,2482.12,0.84554,0.61079,1.98797,0.6808,0.79013,0.7978,0.6776,0.72765,0.61989,2.17906,0.00999694,0.00999694,0.00999694
311,2488.8,0.82984,0.5826,2.05677,0.68122,0.78078,0.7855,0.67267,0.72758,0.61758,2.17193,0.00999693,0.00999693,0.00999693
312,2495.78,0.82057,0.61928,2.04274,0.75142,0.86701,0.86217,0.73421,0.69361,0.59191,2.12299,0.00999692,0.00999692,0.00999692
313,2503.08,0.82083,0.62073,2.02016,0.66519,0.78857,0.77046,0.66067,0.72396,0.63459,2.18011,0.00999691,0.00999691,0.00999691
314,2509.75,0.81386,0.60365,2.01434,0.74756,0.85247,0.86493,0.74253,0.66304,0.59459,2.11917,0.0099969,0.0099969,0.0099969
315,2516.35,0.79673,0.59051,2.04241,0.71169,0.9013,0.86038,0.73335,0.69807,0.58354,2.12495,0.00999689,0.00999689,0.00999689
316,2523.25,0.8311,0.59517,2.03904,0.67211,0.80156,0.79437,0.67215,0.72377,0.63748,2.19317,0.00999688,0.00999688,0.00999688
317,2530.07,0.81353,0.59579,2.09132,0.70871,0.8826,0.84855,0.71907,0.70862,0.60746,2.13123,0.00999687,0.00999687,0.00999687
318,2537.1,0.82025,0.6019,2.02024,0.6738,0.84447,0.81894,0.67394,0.74909,0.6255,2.15632,0.00999686,0.00999686,0.00999686
319,2543.94,0.84376,0.61374,2.02524,0.71683,0.86661,0.84739,0.71381,0.7317,0.60986,2.13327,0.00999685,0.00999685,0.00999685
320,2550.79,0.8391,0.63046,2.06573,0.67555,0.83825,0.81403,0.6831,0.73718,0.62229,2.17776,0.00999684,0.00999684,0.00999684
321,2557.77,0.81474,0.59371,2.0434,0.68437,0.83465,0.81526,0.6865,0.73381,0.62176,2.18825,0.00999683,0.00999683,0.00999683
322,2564.56,0.84736,0.61473,2.07302,0.69212,0.87702,0.83097,0.70805,0.69769,0.60265,2.16103,0.00999682,0.00999682,0.00999682
323,2571.31,0.81952,0.60474,2.02053,0.69043,0.85506,0.82279,0.69837,0.70126,0.61233,2.16773,0.00999681,0.00999681,0.00999681
324,2577.81,0.80519,0.59842,2.02159,0.71653,0.81937,0.82141,0.69531,0.70956,0.60835,2.17241,0.0099968,0.0099968,0.0099968
325,2584.48,0.82237,0.60359,2.07292,0.69634,0.83983,0.81562,0.6995,0.69437,0.60937,2.1601,0.00999679,0.00999679,0.00999679
326,2591.1,0.81073,0.58996,2.05559,0.72707,0.82892,0.83029,0.70497,0.71596,0.60161,2.17644,0.00999678,0.00999678,0.00999678
327,2597.61,0.80123,0.58671,2.05372,0.73531,0.81558,0.83221,0.70857,0.713,0.60724,2.16774,0.00999677,0.00999677,0.00999677
328,2604.5,0.81867,0.59599,2.00788,0.72967,0.82909,0.82454,0.70044,0.70054,0.60802,2.17763,0.00999676,0.00999676,0.00999676
329,2611.26,0.77936,0.59516,2.0635,0.71677,0.8026,0.81274,0.69629,0.70001,0.62253,2.15756,0.00999675,0.00999675,0.00999675
330,2618.35,0.79902,0.60339,2.01729,0.74777,0.8332,0.83697,0.70837,0.68405,0.59948,2.18787,0.00999674,0.00999674,0.00999674
331,2625.5,0.78218,0.61164,2.04711,0.72611,0.81455,0.82232,0.69673,0.71596,0.61561,2.17265,0.00999673,0.00999673,0.00999673
332,2632.5,0.80382,0.59604,2.02545,0.71489,0.83117,0.83203,0.70686,0.6865,0.5969,2.15555,0.00999672,0.00999672,0.00999672
333,2639.21,0.81336,0.60147,2.07794,0.73467,0.83792,0.83808,0.71421,0.69632,0.5992,2.17744,0.00999671,0.00999671,0.00999671
334,2645.99,0.79409,0.59666,2.03258,0.73074,0.85195,0.85088,0.72992,0.68058,0.59598,2.16351,0.0099967,0.0099967,0.0099967
335,2652.69,0.80485,0.59291,2.01835,0.70257,0.83013,0.81926,0.7072,0.67298,0.58282,2.14335,0.00999669,0.00999669,0.00999669
336,2659.89,0.80493,0.59286,2.01498,0.73975,0.84519,0.85399,0.73017,0.67939,0.57733,2.14933,0.00999668,0.00999668,0.00999668
337,2666.67,0.82052,0.6167,2.04232,0.66105,0.88987,0.83148,0.71181,0.68073,0.59468,2.1376,0.00999667,0.00999667,0.00999667
338,2673.45,0.79959,0.60337,1.99752,0.71262,0.82312,0.82071,0.69861,0.70147,0.60532,2.14483,0.00999666,0.00999666,0.00999666
339,2680.15,0.78591,0.57279,2.06094,0.75573,0.84215,0.8548,0.73368,0.68191,0.58212,2.14827,0.00999665,0.00999665,0.00999665
340,2686.74,0.81298,0.58854,2.03536,0.75446,0.85554,0.86472,0.7401,0.67808,0.57305,2.16098,0.00999664,0.00999664,0.00999664
341,2693.73,0.79866,0.58032,2.0428,0.71054,0.83907,0.82935,0.71584,0.67601,0.57028,2.13542,0.00999663,0.00999663,0.00999663
342,2700.37,0.7995,0.57081,2.01058,0.75783,0.8613,0.86425,0.74013,0.67179,0.57773,2.1695,0.00999662,0.00999662,0.00999662
343,2706.92,0.79425,0.56909,2.00805,0.73983,0.82871,0.84149,0.72635,0.67069,0.58553,2.17149,0.00999661,0.00999661,0.00999661
344,2713.91,0.78765,0.57888,2.05238,0.72503,0.82909,0.83943,0.72121,0.69601,0.5781,2.11826,0.0099966,0.0099966,0.0099966
345,2720.91,0.80214,0.57359,2.06712,0.73093,0.81564,0.82669,0.71481,0.67627,0.5841,2.17399,0.00999659,0.00999659,0.00999659
346,2728.06,0.82574,0.58615,1.99491,0.72197,0.84208,0.84518,0.72251,0.70772,0.57024,2.11204,0.00999658,0.00999658,0.00999658
347,2734.87,0.7775,0.58389,2.05972,0.7618,0.86391,0.86932,0.74093,0.69815,0.56623,2.11644,0.00999657,0.00999657,0.00999657
348,2741.42,0.81417,0.57478,2.01649,0.73362,0.8561,0.84511,0.72203,0.67885,0.55691,2.16455,0.00999656,0.00999656,0.00999656
349,2748.29,0.81877,0.59179,1.97451,0.77069,0.85766,0.87375,0.74249,0.69848,0.55511,2.10244,0.00999655,0.00999655,0.00999655
350,2755.22,0.77924,0.58472,2.05241,0.76713,0.84883,0.86705,0.73688,0.70093,0.58191,2.10172,0.00999654,0.00999654,0.00999654
351,2762.13,0.81927,0.59011,1.99133,0.70806,0.82904,0.80705,0.6953,0.68884,0.60076,2.14774,0.00999654,0.00999654,0.00999654
352,2768.88,0.78613,0.57502,1.99034,0.74308,0.88497,0.87254,0.74389,0.66529,0.5827,2.10971,0.00999653,0.00999653,0.00999653
353,2775.71,0.77858,0.57524,1.98349,0.79178,0.84742,0.87933,0.75067,0.6823,0.56457,2.10559,0.00999652,0.00999652,0.00999652
354,2782.36,0.81108,0.57585,2.02476,0.69299,0.84727,0.82229,0.7153,0.66112,0.57548,2.12456,0.00999651,0.00999651,0.00999651
355,2789.23,0.80191,0.56836,1.98482,0.77141,0.86078,0.87194,0.74453,0.67639,0.56015,2.12077,0.0099965,0.0099965,0.0099965
356,2796.07,0.79306,0.58966,2.00642,0.77142,0.86234,0.88199,0.76395,0.63967,0.56173,2.10952,0.00999649,0.00999649,0.00999649
357,2802.77,0.78387,0.57672,2.03167,0.75705,0.81455,0.83741,0.73037,0.6482,0.57939,2.12776,0.00999648,0.00999648,0.00999648
358,2809.28,0.78692,0.57563,1.97235,0.80046,0.84396,0.88151,0.75564,0.6776,0.55468,2.115,0.00999647,0.00999647,0.00999647
359,2816.02,0.79972,0.56916,1.95633,0.77543,0.85382,0.8717,0.72491,0.72209,0.56717,2.13446,0.00999646,0.00999646,0.00999646
360,2822.45,0.84439,0.60283,2.00967,0.77722,0.85091,0.85744,0.73987,0.65135,0.54928,2.13151,0.00999645,0.00999645,0.00999645
361,2829.04,0.81569,0.59574,2.0077,0.73679,0.84778,0.85018,0.70805,0.7329,0.594,2.13552,0.00999644,0.00999644,0.00999644
362,2835.75,0.78406,0.58756,2.02075,0.73909,0.85506,0.84375,0.73031,0.64977,0.55557,2.12827,0.00999643,0.00999643,0.00999643
363,2842.42,0.83654,0.6131,2.04699,0.73335,0.83948,0.84233,0.72898,0.65015,0.55762,2.12686,0.00999642,0.00999642,0.00999642
364,2848.86,0.76106,0.57288,2.03038,0.73734,0.84364,0.84404,0.71693,0.7101,0.58673,2.15761,0.00999641,0.00999641,0.00999641
365,2855.81,0.81262,0.57234,1.98866,0.73656,0.87001,0.85566,0.73886,0.65178,0.55666,2.13558,0.0099964,0.0099964,0.0099964
366,2862.49,0.78071,0.58499,2.0146,0.72471,0.85714,0.85106,0.73528,0.65416,0.56094,2.14464,0.00999639,0.00999639,0.00999639
